issue	sku	product_name	competitor	price	in_stock	active	is_used	context	url
PRICE_ZERO_IN_STOCK	HP-7PS86A	Máy in HP LaserJet Ent M612dn (7PS86A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-ent-m612dn-7ps86a.html
PRICE_ZERO_IN_STOCK	HP-8AF43A	Máy in HP LaserJet MFP M438N (8AF43A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-mfp-m438n-8af43a-.html
PRICE_ZERO_IN_STOCK	HP-8AF46A	Máy in HP LaserJet M440n MFP (8AF46A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-m440n-mfp-8af46a-.html
PRICE_ZERO_IN_STOCK	HP-8X3D4A	Máy in HP LaserJet Pro 4006DN (8X3D4A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-4006dn-8x3d4a.html
PRICE_ZERO_IN_STOCK	HP-8X3D6A	Máy in HP LaserJet Pro 4006dw (8X3D6A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-4006dw-8x3d6a.html
PRICE_ZERO_IN_STOCK	HP-C5F95A	Máy in HP LaserJetPro M402dw (C5F95A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m402dw-c5f95a-.html
PRICE_ZERO_IN_STOCK	HP-CE461A	Máy in HP LaserJet P2035 (CE461A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-p2035-ce461a-.html
PRICE_ZERO_IN_STOCK	HP-CF235A	Máy in HP LaserJet Enterprise 700 Printer M712n (CF235A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-700-printer-m712n-cf235a.html
PRICE_ZERO_IN_STOCK	HP-CF236A	Máy in HP LaserJet Enterprise 700 Printer M712dn (CF236A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-700-printer-m712dn-cf236a.html
PRICE_ZERO_IN_STOCK	HP-CZ244A	Máy in HP LaserJet Enterprise M806dn (CZ244A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m806dn-cz244a.html
